NAME,Height,Easting,Northing
Battfjellet Formation,456.891,530528.836,8651984.773
Battfjellet Formation,446.978,530490.891,8652017.333
Battfjellet Formation,450.134,530452.947,8652049.894
Battfjellet Formation,451.577,530415.002,8652082.455
Battfjellet Formation,445.516,530377.058,8652115.016
Battfjellet Formation,449.502,530339.113,8652147.577
Battfjellet Formation,443.307,530297.894,8652175.818
Battfjellet Formation,447.341,530256.294,8652203.557
Battfjellet Formation,443.570,530214.694,8652231.296
Battfjellet Formation,450.714,530173.094,8652259.034
Battfjellet Formation,458.724,530131.494,8652286.773
Battfjellet Formation,467.909,530089.894,8652314.512
Battfjellet Formation,477.118,530048.294,8652342.250
Battfjellet Formation,484.631,530006.694,8652369.989
Battfjellet Formation,491.495,529959.460,8652386.146
Battfjellet Formation,494.906,529911.956,8652401.745
Battfjellet Formation,505.107,529864.452,8652417.345
Battfjellet Formation,507.627,529816.947,8652432.944
Battfjellet Formation,521.033,529778.344,8652447.726
Battfjellet Formation,507.627,529825.848,8652432.126
Battfjellet Formation,498.156,529873.352,8652416.527
Battfjellet Formation,494.906,529920.857,8652400.928
Battfjellet Formation,491.495,529968.361,8652385.328
Battfjellet Formation,477.670,530014.600,8652367.121
Battfjellet Formation,468.941,530056.200,8652339.382
Battfjellet Formation,459.722,530097.800,8652311.644
Battfjellet Formation,458.724,530139.400,8652283.905
Battfjellet Formation,450.714,530181.000,8652256.166
Battfjellet Formation,451.386,530222.600,8652228.428
Battfjellet Formation,447.341,530264.200,8652200.689
Battfjellet Formation,443.307,530305.800,8652172.950
Battfjellet Formation,449.502,530346.431,8652143.933
Battfjellet Formation,445.516,530384.376,8652111.372
Battfjellet Formation,451.577,530422.320,8652078.811
Battfjellet Formation,450.134,530460.265,8652046.250
Battfjellet Formation,446.978,530498.209,8652013.689
Battfjellet Formation,453.155,530536.154,8651981.128
Battfjellet Formation,459.541,530574.098,8651948.567
Battfjellet Formation,450.715,530612.043,8651916.006
