Easting,Northing,Height
549148.147,8512615.321,
549185.473,8512582.054,
549222.800,8512548.786,
549269.091,8512531.813,
549317.171,8512518.092,
549365.252,8512504.371,
549413.332,8512490.650,
549461.413,8512476.928,
549508.140,8512490.729,
549546.872,8512512.116,
549524.940,8512557.049,
549503.008,8512601.982,
549481.077,8512646.915,
549465.411,8512694.196,
549452.440,8512742.484,
549439.468,8512790.772,
549426.497,8512839.060,
549413.525,8512887.348,
549400.554,8512935.636,
549428.788,8512964.020,
549474.880,8512983.397,
549520.973,8513002.773,
549567.388,8513010.370,
549614.362,8512993.238,
549661.335,8512976.106,
549709.605,8512966.709,
549759.598,8512967.581,
549802.998,8512986.247,
549841.490,8513018.159,
549879.982,8513050.070,
549897.819,8513096.264,
549914.083,8513143.545,
549930.348,8513190.825,
549946.612,8513238.106,
549961.153,8513285.595,
549956.635,8513335.391,
549952.116,8513385.186,
549947.598,8513434.981,
549943.079,8513484.777,
549938.561,8513534.572,
549934.042,8513584.368,
549929.524,8513634.163,
549925.005,8513683.959,
549929.840,8513733.017,
549942.152,8513781.477,
549954.464,8513829.938,
549966.776,8513878.398,
549979.088,8513926.859,
550010.860,8513963.979,
550047.003,8513998.529,
550083.145,8514033.079,
550121.161,8514062.793,
550171.118,8514060.728,
550221.075,8514058.664,
550271.033,8514056.599,
550314.378,8514037.147,
550353.001,8514005.393,
550391.623,8513973.639,
550430.245,8513941.885,
550468.867,8513910.130,
550507.490,8513878.376,
550546.112,8513846.622,
550585.050,8513815.271,
550625.100,8513785.337,
550665.149,8513755.403,
550705.198,8513725.469,
550745.247,8513695.535,
550785.297,8513665.600,
550825.346,8513635.666,
550865.395,8513605.732,
550905.444,8513575.798,
550945.494,8513545.864,
550985.543,8513515.929,
551027.064,8513488.118,
551069.144,8513461.113,
551111.224,8513434.108,
551153.304,8513407.104,
556280.560,8555560.664,
556231.736,8555567.332,
556182.369,8555575.261,
556133.002,8555583.191,
556172.397,8555578.889,
556221.764,8555570.960,
556271.131,8555563.031,
553229.613,8555218.567,
553265.869,8555184.921,
553303.951,8555153.985,
553352.412,8555141.673,
553400.872,8555129.361,
553449.333,8555117.049,
553497.793,8555104.737,
553546.254,8555092.425,
